Gare,A l'heure,En retard au depart,En retard a l'arrivee,Annulees
ANGOULEME,4020.0,1221.0,258.0,40.0
PARIS MONTPARNASSE,79710.0,16356.0,5497.0,1081.0
LE MANS,6169.0,2054.0,464.0,61.0
ST MALO,1349.0,320.0,62.0,15.0
TOULOUSE MATABIAU,2380.0,271.0,143.0,29.0
PARIS EST,23242.0,4865.0,1759.0,558.0
PARIS NORD,18787.0,3555.0,1603.0,488.0
LYON PART DIEU,25507.0,7604.0,1501.0,1179.0
LILLE,14320.0,3101.0,1448.0,566.0
MARSEILLE ST CHARLES,19416.0,3103.0,1435.0,511.0
ANNECY,2100.0,96.0,114.0,58.0
CHAMBERY CHALLES LES EAUX,2818.0,817.0,158.0,194.0
PARIS LYON,88475.0,8914.0,5240.0,1611.0
GENEVE,2879.0,1186.0,175.0,11.0
MADRID,390.0,66.0,19.0,0.0
AVIGNON TGV,5993.0,1552.0,349.0,83.0
LAVAL,3245.0,682.0,229.0,38.0
DIJON VILLE,6144.0,2153.0,215.0,11.0
NANCY,4139.0,937.0,139.0,41.0
MULHOUSE VILLE,4217.0,1278.0,235.0,5.0
STUTTGART,2037.0,919.0,166.0,57.0
GRENOBLE,2960.0,167.0,198.0,5.0
POITIERS,6608.0,1314.0,451.0,41.0
LA ROCHELLE VILLE,3051.0,350.0,157.0,12.0
BARCELONA,1024.0,183.0,102.0,1.0
LE CREUSOT MONTCEAU MONTCHANIN,2916.0,1032.0,133.0,39.0
NANTES,8308.0,1607.0,518.0,99.0
DUNKERQUE,3423.0,81.0,217.0,41.0
ST PIERRE DES CORPS,5728.0,1656.0,444.0,32.0
AIX EN PROVENCE TGV,5542.0,1917.0,231.0,82.0
MONTPELLIER,7305.0,2118.0,472.0,373.0
BORDEAUX ST JEAN,11860.0,1840.0,491.0,303.0
DOUAI,2776.0,639.0,220.0,56.0
NICE VILLE,2610.0,670.0,159.0,65.0
TOURCOING,452.0,32.0,34.0,13.0
SAINT ETIENNE CHATEAUCREUX,1574.0,190.0,91.0,29.0
STRASBOURG,8111.0,2275.0,415.0,226.0
RENNES,10103.0,2303.0,588.0,182.0
TOURS,2494.0,324.0,225.0,23.0
QUIMPER,3472.0,536.0,146.0,51.0
PERPIGNAN,2427.0,502.0,197.0,132.0
VALENCE ALIXAN TGV,4179.0,1591.0,259.0,38.0
TOULON,3250.0,1027.0,207.0,88.0
MARNE LA VALLEE,7510.0,2839.0,652.0,299.0
METZ,4362.0,1191.0,278.0,109.0
REIMS,2913.0,480.0,187.0,43.0
MACON LOCHE,2929.0,1057.0,128.0,109.0
FRANCFORT,2383.0,661.0,172.0,91.0
BESANCON FRANCHE COMTE TGV,2689.0,592.0,127.0,5.0
BELLEGARDE (AIN),3127.0,1274.0,244.0,11.0
NIMES,4381.0,1481.0,299.0,147.0
ARRAS,4341.0,1181.0,335.0,134.0
ANGERS SAINT LAUD,6084.0,1924.0,422.0,85.0
VANNES,3531.0,792.0,209.0,52.0
ZURICH,1914.0,615.0,155.0,3.0
LAUSANNE,1941.0,750.0,137.0,5.0
BREST,3725.0,524.0,151.0,68.0
ITALIE,1136.0,455.0,68.0,105.0
