Gare,A l'heure,En retard au depart,En retard a l'arrivee,Annulees
LYON PART DIEU,28938.0,14067.0,4015.0,4392.0
LILLE,16680.0,3670.0,2761.0,2190.0
BORDEAUX ST JEAN,14596.0,3124.0,993.0,1946.0
PARIS LYON,123296.0,11993.0,13338.0,11060.0
PARIS EST,30099.0,3213.0,3325.0,1721.0
NANCY,5809.0,666.0,256.0,470.0
PARIS MONTPARNASSE,98136.0,8267.0,12325.0,10828.0
MULHOUSE VILLE,4819.0,1431.0,533.0,474.0
ITALIE,958.0,799.0,229.0,165.0
STRASBOURG,8889.0,2661.0,641.0,603.0
MARSEILLE ST CHARLES,26476.0,4101.0,3559.0,2823.0
LAUSANNE,1996.0,942.0,263.0,200.0
LE MANS,6011.0,2375.0,723.0,690.0
NANTES,10118.0,2187.0,920.0,1063.0
PARIS NORD,23103.0,2875.0,3261.0,3082.0
AIX EN PROVENCE TGV,6978.0,1818.0,715.0,475.0
ANNECY,3531.0,187.0,338.0,379.0
TOULON,4322.0,1300.0,532.0,634.0
ANGERS SAINT LAUD,5882.0,1984.0,652.0,666.0
REIMS,3953.0,629.0,331.0,248.0
DIJON VILLE,6588.0,2735.0,480.0,661.0
TOULOUSE MATABIAU,3340.0,251.0,288.0,272.0
MARNE LA VALLEE,7940.0,4430.0,1481.0,1188.0
BESANCON FRANCHE COMTE TGV,3609.0,396.0,277.0,321.0
GRENOBLE,4310.0,335.0,447.0,432.0
ST MALO,1649.0,292.0,160.0,156.0
LA ROCHELLE VILLE,4459.0,168.0,271.0,326.0
DUNKERQUE,4884.0,129.0,395.0,534.0
NICE VILLE,3685.0,664.0,411.0,458.0
PERPIGNAN,2676.0,786.0,438.0,449.0
MACON LOCHE,2693.0,1753.0,281.0,331.0
ST PIERRE DES CORPS,5822.0,1934.0,803.0,820.0
RENNES,11330.0,2861.0,1205.0,1672.0
PARIS VAUGIRARD,2593.0,235.0,210.0,34.0
STUTTGART,1860.0,1383.0,225.0,68.0
MONTPELLIER,9568.0,2740.0,1367.0,1762.0
ARRAS,4754.0,1308.0,623.0,942.0
POITIERS,7164.0,2102.0,747.0,1017.0
BREST,5417.0,98.0,286.0,486.0
BELLEGARDE (AIN),3178.0,1075.0,615.0,405.0
BARCELONA,1105.0,303.0,227.0,76.0
LAVAL,3304.0,912.0,364.0,370.0
METZ,5175.0,1329.0,433.0,341.0
QUIMPER,5023.0,141.0,273.0,474.0
DOUAI,3434.0,410.0,442.0,395.0
MADRID,420.0,103.0,32.0,96.0
TOURCOING,962.0,72.0,80.0,58.0
ZURICH,2079.0,837.0,312.0,148.0
VALENCE ALIXAN TGV,4387.0,1945.0,614.0,798.0
CHAMBERY CHALLES LES EAUX,2851.0,1511.0,452.0,430.0
NIMES,4579.0,2248.0,662.0,893.0
TOURS,3389.0,196.0,449.0,233.0
AVIGNON TGV,8343.0,2480.0,951.0,588.0
GENEVE,2872.0,1237.0,432.0,368.0
FRANCFORT,2344.0,766.0,261.0,112.0
VANNES,3912.0,1347.0,432.0,523.0
LE CREUSOT MONTCEAU MONTCHANIN,2960.0,1548.0,437.0,115.0
SAINT ETIENNE CHATEAUCREUX,2023.0,139.0,214.0,162.0
ANGOULEME,3548.0,1378.0,412.0,531.0
