Gare,A l'heure,En retard au depart,En retard a l'arrivee,Annulees
AVIGNON TGV,10641.0,1640.0,575.0,45.0
MACON LOCHE,3895.0,670.0,137.0,10.0
PERPIGNAN,3147.0,250.0,331.0,12.0
PARIS LYON,141763.0,3339.0,8774.0,498.0
PARIS NORD,29501.0,818.0,1730.0,70.0
NANTES,13124.0,404.0,587.0,19.0
PARIS EST,31776.0,680.0,1956.0,51.0
PARIS MONTPARNASSE,120689.0,2849.0,6379.0,218.0
DUNKERQUE,5782.0,49.0,227.0,17.0
GENEVE,4816.0,266.0,285.0,0.0
STRASBOURG,10208.0,849.0,417.0,22.0
LYON PART DIEU,36149.0,5877.0,3254.0,111.0
LILLE,22603.0,878.0,2061.0,46.0
DIJON VILLE,9762.0,773.0,253.0,23.0
SAINT ETIENNE CHATEAUCREUX,2498.0,12.0,153.0,3.0
ANGOULEME,7105.0,574.0,289.0,29.0
BREST,5155.0,35.0,166.0,17.0
RENNES,13944.0,624.0,809.0,9.0
MARSEILLE ST CHARLES,25653.0,1352.0,2448.0,53.0
ZURICH,3708.0,182.0,116.0,0.0
ST PIERRE DES CORPS,9412.0,489.0,528.0,15.0
TOULOUSE MATABIAU,3518.0,74.0,258.0,20.0
STUTTGART,1932.0,611.0,151.0,0.0
BESANCON FRANCHE COMTE TGV,4825.0,76.0,150.0,13.0
DOUAI,4319.0,140.0,234.0,9.0
VALENCE ALIXAN TGV,5079.0,1024.0,329.0,17.0
LE MANS,9495.0,597.0,554.0,7.0
NIMES,6443.0,840.0,572.0,19.0
LE CREUSOT MONTCEAU MONTCHANIN,4292.0,435.0,181.0,9.0
ARRAS,6831.0,370.0,289.0,9.0
LA ROCHELLE VILLE,4921.0,59.0,176.0,5.0
GRENOBLE,5038.0,108.0,212.0,15.0
NANCY,6447.0,156.0,147.0,10.0
FRANCFORT,2183.0,575.0,131.0,0.0
TOULON,4676.0,932.0,493.0,48.0
NICE VILLE,4091.0,293.0,534.0,69.0
AIX EN PROVENCE TGV,9498.0,745.0,435.0,24.0
LAUSANNE,2230.0,110.0,109.0,0.0
CHAMBERY CHALLES LES EAUX,3822.0,529.0,295.0,9.0
ST MALO,2327.0,5.0,92.0,11.0
TOURS,4258.0,36.0,293.0,3.0
MONTPELLIER,13433.0,1095.0,1484.0,76.0
REIMS,4699.0,48.0,152.0,7.0
BELLEGARDE (AIN),4618.0,394.0,297.0,10.0
ANGERS SAINT LAUD,9629.0,459.0,387.0,9.0
LAVAL,5022.0,262.0,183.0,4.0
METZ,6203.0,328.0,268.0,14.0
POITIERS,10350.0,1051.0,381.0,20.0
ITALIE,1902.0,200.0,141.0,0.0
BORDEAUX ST JEAN,13556.0,1360.0,614.0,41.0
VANNES,4940.0,141.0,216.0,4.0
QUIMPER,4545.0,28.0,197.0,9.0
MULHOUSE VILLE,6623.0,257.0,197.0,9.0
ANNECY,3782.0,53.0,154.0,86.0
