Gare,A l'heure,En retard au depart,En retard a l'arrivee,Annulees
PARIS LYON,135719.0,6670.0,11545.0,1030.0
CHAMBERY CHALLES LES EAUX,3913.0,755.0,404.0,21.0
MONTPELLIER,13035.0,1095.0,1434.0,174.0
PARIS MONTPARNASSE,113594.0,5498.0,11881.0,1486.0
BORDEAUX ST JEAN,14385.0,1527.0,1549.0,279.0
POITIERS,9313.0,1222.0,676.0,128.0
LILLE,20338.0,1292.0,2681.0,229.0
NANCY,6396.0,224.0,201.0,29.0
PARIS NORD,28773.0,984.0,2152.0,260.0
RENNES,13807.0,1050.0,1058.0,169.0
ST PIERRE DES CORPS,8227.0,872.0,837.0,95.0
TOURS,3820.0,43.0,453.0,31.0
STRASBOURG,10043.0,1422.0,460.0,253.0
NANTES,11844.0,834.0,865.0,183.0
MARSEILLE ST CHARLES,22081.0,1576.0,2730.0,269.0
QUIMPER,5160.0,55.0,335.0,49.0
ST MALO,2211.0,19.0,128.0,19.0
DUNKERQUE,5924.0,49.0,285.0,51.0
LYON PART DIEU,33507.0,6731.0,3425.0,473.0
VANNES,5103.0,229.0,434.0,54.0
NIMES,6383.0,899.0,614.0,50.0
PARIS EST,33163.0,1248.0,2756.0,585.0
REIMS,4593.0,152.0,319.0,22.0
AIX EN PROVENCE TGV,8730.0,668.0,858.0,95.0
SAINT ETIENNE CHATEAUCREUX,2456.0,23.0,192.0,31.0
DOUAI,4120.0,134.0,371.0,26.0
GENEVE,4363.0,196.0,393.0,10.0
LAUSANNE,2884.0,137.0,215.0,7.0
ARRAS,6574.0,513.0,385.0,75.0
MACON LOCHE,3509.0,1161.0,236.0,39.0
DIJON VILLE,8447.0,1247.0,538.0,76.0
ITALIE,1910.0,91.0,152.0,8.0
ANGERS SAINT LAUD,8617.0,832.0,647.0,127.0
LA ROCHELLE VILLE,4762.0,64.0,326.0,53.0
BESANCON FRANCHE COMTE TGV,4035.0,117.0,264.0,60.0
MULHOUSE VILLE,6137.0,435.0,504.0,62.0
PERPIGNAN,3454.0,356.0,313.0,12.0
ANNECY,4108.0,71.0,241.0,21.0
STUTTGART,2630.0,410.0,289.0,135.0
AVIGNON TGV,10026.0,1448.0,818.0,54.0
BREST,5684.0,48.0,295.0,54.0
LAVAL,4673.0,324.0,400.0,44.0
TOULON,5171.0,972.0,552.0,135.0
VALENCE ALIXAN TGV,5536.0,1042.0,503.0,61.0
METZ,6023.0,702.0,364.0,61.0
FRANCFORT,3424.0,324.0,241.0,90.0
BELLEGARDE (AIN),4307.0,459.0,346.0,13.0
ZURICH,2900.0,87.0,224.0,5.0
GRENOBLE,4831.0,106.0,399.0,12.0
LE CREUSOT MONTCEAU MONTCHANIN,3859.0,791.0,312.0,6.0
TOULOUSE MATABIAU,3584.0,125.0,321.0,32.0
NICE VILLE,4137.0,337.0,551.0,105.0
ANGOULEME,5706.0,877.0,505.0,94.0
LE MANS,8641.0,1011.0,751.0,114.0
